DAR.in.Rat	Gene	DAR_logFC	DAR_FDR	type	Region	Group	Exp_logFC	Exp_FDR
"chr2,97687714,97688429"	Pkia	-0.791457723	0.000888886	SVZ_Meth	SVZ	Meth	0.329922955	0.000261835
"chr2,98448984,98449781"	Zfhx4	-0.974474073	1.17E-06	SVZ_Meth	SVZ	Meth	-0.411858763	0.000500784
"chr2,98602592,98603209"	Zfhx4	-1.601942031	2.46E-19	SVZ_Meth	SVZ	Meth	-0.411858763	0.000500784
"chr3,162930680,162931310"	Gm11468	-0.932611805	3.67E-05	SVZ_Meth	SVZ	Meth	0	1
"chr3,162930680,162931310"	Sulf2	-0.932611805	3.67E-05	SVZ_Meth	SVZ	Meth	-0.119387343	0.345727582
"chr3,36500560,36501550"	LOC101929231	-1.227459169	6.73E-15	SVZ_Meth	SVZ	Meth	0	1
"chr3,36500560,36501550"	Rnd3	-1.227459169	6.73E-15	SVZ_Meth	SVZ	Meth	0.207919275	0.423555788
"chr3,58152088,58152951"	Metap1d	-1.042306993	2.60E-08	SVZ_Meth	SVZ	Meth	-0.03714005	0.917998606
"chr3,59099329,59100202"	As1	-0.729125847	0.000229399	SVZ_Meth	SVZ	Meth	0	1
"chr3,59099329,59100202"	Mlk7	-0.729125847	0.000229399	SVZ_Meth	SVZ	Meth	0	1
"chr4,172617270,172617962"	Mir3974	-1.012791994	2.39E-05	SVZ_Meth	SVZ	Meth	0	1
"chr4,172617270,172617962"	Skp1p2	-1.012791994	2.39E-05	SVZ_Meth	SVZ	Meth	0	1
"chr4,30569829,30570585"	Dync1i1	-0.744576779	0.0001806	SVZ_Meth	SVZ	Meth	0.024478552	0.904321251
"chr4,30569829,30570585"	Pdk4	-0.744576779	0.0001806	SVZ_Meth	SVZ	Meth	-0.128146985	0.713835257
"chr4,44446149,44446675"	Cav2	-1.664057759	1.39E-08	SVZ_Meth	SVZ	Meth	-0.408130793	0.008724807
"chr4,44446149,44446675"	Tes	-1.664057759	1.39E-08	SVZ_Meth	SVZ	Meth	-0.265343092	0.308653624
"chr4,62877923,62878606"	Fam180a	-1.214501097	2.09E-05	SVZ_Meth	SVZ	Meth	0	1
"chr4,62877923,62878606"	Luzp6	-1.214501097	2.09E-05	SVZ_Meth	SVZ	Meth	0	1
"chr4,6700883,6701247"	As1	-1.016245141	7.57E-05	SVZ_Meth	SVZ	Meth	0	1
"chr4,6700883,6701247"	Prkag2	-1.016245141	7.57E-05	SVZ_Meth	SVZ	Meth	0.196590572	0.06565734
"chr4,67018793,67020034"	As1	-0.747582219	0.000183066	SVZ_Meth	SVZ	Meth	0	1
"chr4,67018793,67020034"	Jhdm1d	-0.747582219	0.000183066	SVZ_Meth	SVZ	Meth	0	1
"chr4,67018793,67020034"	Slc37a3	-0.747582219	0.000183066	SVZ_Meth	SVZ	Meth	0.076155501	0.606503236
"chr4,67330415,67331111"	Dennd2a	-0.960964218	0.000720411	SVZ_Meth	SVZ	Meth	-0.334771955	0.003426339
"chr4,80632419,80633434"	16p	-1.111225652	0.000263926	SVZ_Meth	SVZ	Meth	0	1
"chr4,80632419,80633434"	Npvf	-1.111225652	0.000263926	SVZ_Meth	SVZ	Meth	0	1
"chr4,80632419,80633434"	Rnu6	-1.111225652	0.000263926	SVZ_Meth	SVZ	Meth	0	1
"chr4,91093475,91094946"	Ccser1	-1.35122585	5.01E-14	SVZ_Meth	SVZ	Meth	0.196692703	0.158546082
"chr4,91093475,91094946"	Mmrn1	-1.35122585	5.01E-14	SVZ_Meth	SVZ	Meth	0	1
"chr5,107969737,107970264"	Cdkn2b	-1.334408148	2.18E-05	SVZ_Meth	SVZ	Meth	0	1
"chr5,107969737,107970264"	Dmrta1	-1.334408148	2.18E-05	SVZ_Meth	SVZ	Meth	0	1
"chr5,107999534,108000094"	Cdkn2b	-1.578419739	3.37E-05	SVZ_Meth	SVZ	Meth	0	1
"chr5,107999534,108000094"	Dmrta1	-1.578419739	3.37E-05	SVZ_Meth	SVZ	Meth	0	1
"chr5,116892797,116893585"	LOC645030	-1.462316446	6.88E-15	SVZ_Meth	SVZ	Meth	0	1
"chr5,116892797,116893585"	Mgc34796	-1.462316446	6.88E-15	SVZ_Meth	SVZ	Meth	0	1
"chr5,12563212,12564343"	St18	-1.233542562	2.31E-07	SVZ_Meth	SVZ	Meth	-0.650867062	2.18E-06
"chr5,131395366,131396108"	Agbl4	-1.237187837	4.23E-06	SVZ_Meth	SVZ	Meth	-0.10870743	0.839609922
"chr5,14412291,14412961"	Atp6v1h	-0.716224465	1.79E-05	SVZ_Meth	SVZ	Meth	-0.036150116	0.817797173
"chr5,14412291,14412961"	Rgs20	-0.716224465	1.79E-05	SVZ_Meth	SVZ	Meth	0.513646653	7.67E-06
"chr5,171736882,171737932"	Arhgef16	-0.759223734	1.35E-07	SVZ_Meth	SVZ	Meth	0	1
"chr5,171736882,171737932"	Mir4251	-0.759223734	1.35E-07	SVZ_Meth	SVZ	Meth	0	1
"chr5,172005128,172005601"	Prdm16	-1.58423007	1.47E-07	SVZ_Meth	SVZ	Meth	0.837442123	4.37E-06
"chr5,19043955,19045465"	Fam110b	-0.75753852	7.23E-06	SVZ_Meth	SVZ	Meth	0.524610922	7.19E-08
"chr5,19043955,19045465"	Ubxn2b	-0.75753852	7.23E-06	SVZ_Meth	SVZ	Meth	0.240580566	0.014184107
"chr5,25395071,25395681"	Cdh17	-0.811810324	0.000863176	SVZ_Meth	SVZ	Meth	0	1
"chr5,36462678,36464379"	Faxc	-0.719882524	0.000248843	SVZ_Meth	SVZ	Meth	-0.012023997	0.959667776
"chr5,36462678,36464379"	Fbxl4	-0.719882524	0.000248843	SVZ_Meth	SVZ	Meth	0.008897568	0.9784792
"chr5,38551353,38552180"	LOC101927314	-0.702110284	0.000720411	SVZ_Meth	SVZ	Meth	0	1
"chr5,73748826,73749339"	Mir8081	-1.483372892	5.12E-09	SVZ_Meth	SVZ	Meth	0	1
"chr5,73748826,73749339"	Tmem38b	-1.483372892	5.12E-09	SVZ_Meth	SVZ	Meth	-0.053574686	0.819637558
"chr5,78476863,78477876"	Rgs3	-0.858742649	1.71E-06	SVZ_Meth	SVZ	Meth	-0.795182362	1.00E-11
"chr5,87428803,87429591"	Tle1	-1.911358576	1.96E-07	SVZ_Meth	SVZ	Meth	0.159228995	0.241332852
"chr5,87428803,87429591"	Tle4	-1.911358576	1.96E-07	SVZ_Meth	SVZ	Meth	0.365514326	4.62E-05
"chr5,87901869,87902898"	Tle1	-0.895809339	2.16E-05	SVZ_Meth	SVZ	Meth	0.159228995	0.241332852
"chr5,87901869,87902898"	Tle4	-0.895809339	2.16E-05	SVZ_Meth	SVZ	Meth	0.365514326	4.62E-05
"chr6,103262233,103263157"	Rad51l1	-0.616684677	0.000453047	SVZ_Meth	SVZ	Meth	0	1
"chr6,103262233,103263157"	Zfp36l1	-0.616684677	0.000453047	SVZ_Meth	SVZ	Meth	-0.113309854	0.411467232
"chr6,115432977,115433748"	Ston2	-0.798665571	0.000114701	SVZ_Meth	SVZ	Meth	0.47961776	5.84E-05
"chr6,128604593,128605393"	LOC101929080	-0.949837148	1.62E-06	SVZ_Meth	SVZ	Meth	0	1
"chr6,128604593,128605393"	Linc00341	-0.949837148	1.62E-06	SVZ_Meth	SVZ	Meth	0	1
"chr6,145889884,145890743"	Dnah11	-1.382731392	1.53E-13	SVZ_Meth	SVZ	Meth	0.717061933	0.000331833
"chr6,146648316,146649024"	Rpl23p8	-1.038211766	3.07E-06	SVZ_Meth	SVZ	Meth	0	1
"chr6,146648316,146649024"	Sp4	-1.038211766	3.07E-06	SVZ_Meth	SVZ	Meth	0.121602202	0.310871847
"chr6,33590115,33591008"	Hs1bp3	-0.609061748	0.000533889	SVZ_Meth	SVZ	Meth	-0.035191333	0.857789272
"chr6,33590115,33591008"	It1	-0.609061748	0.000533889	SVZ_Meth	SVZ	Meth	0	1
"chr6,33590115,33591008"	Rhob	-0.609061748	0.000533889	SVZ_Meth	SVZ	Meth	0.007304747	0.975684843
"chr6,59079609,59080554"	Arl4a	-0.845691129	2.46E-05	SVZ_Meth	SVZ	Meth	0.205783955	0.254941736
"chr6,59079609,59080554"	Etv1	-0.845691129	2.46E-05	SVZ_Meth	SVZ	Meth	-0.059688454	0.757754747
"chr6,70814327,70815255"	C14orf23	-0.905527194	6.17E-08	SVZ_Meth	SVZ	Meth	0	1
"chr6,70814327,70815255"	Mir548ai	-0.905527194	6.17E-08	SVZ_Meth	SVZ	Meth	0	1
"chr6,7148842,7149656"	4933433H22Rik	-0.738594031	0.000152803	SVZ_Meth	SVZ	Meth	0	1
"chr6,7148842,7149656"	Haao	-0.738594031	0.000152803	SVZ_Meth	SVZ	Meth	0	1
"chr6,71773419,71774276"	G2e3	-0.667641086	0.000127145	SVZ_Meth	SVZ	Meth	0.247302349	0.085419376
"chr6,71773419,71774276"	Prkd1	-0.667641086	0.000127145	SVZ_Meth	SVZ	Meth	0.412601548	0.013947054
"chr6,94270163,94270901"	4930404H11Rik	-0.719278196	2.73E-05	SVZ_Meth	SVZ	Meth	0	1
"chr6,94270163,94270901"	Dact1	-0.719278196	2.73E-05	SVZ_Meth	SVZ	Meth	0.344209975	0.123886134
"chr7,101169539,101170274"	9930014A18Rik	-1.669882055	2.27E-17	SVZ_Meth	SVZ	Meth	0	1
"chr7,101169539,101170274"	A1bg	-1.669882055	2.27E-17	SVZ_Meth	SVZ	Meth	0	1
"chr7,108025347,108026760"	St3gal1	-0.83713975	2.30E-07	SVZ_Meth	SVZ	Meth	-0.363238909	0.158404239
"chr7,108025347,108026760"	Zfat	-0.83713975	2.30E-07	SVZ_Meth	SVZ	Meth	-0.074317167	0.685614755
"chr8,36271597,36272098"	St3gal4	-0.790718401	5.33E-05	SVZ_Meth	SVZ	Meth	-0.628739023	1.77E-10
"chr8,68000007,68001347"	Pias1	-0.691378256	1.13E-05	SVZ_Meth	SVZ	Meth	0.043416662	0.793871101
"chr8,68000007,68001347"	Skor1	-0.691378256	1.13E-05	SVZ_Meth	SVZ	Meth	0	1
"chr9,27035792,27036525"	Paqr8	-0.844228275	1.75E-05	SVZ_Meth	SVZ	Meth	-0.238207405	0.058510264
"chr9,97438718,97439452"	Cops8	-0.973392631	6.79E-06	SVZ_Meth	SVZ	Meth	0.218570807	0.034697095
"chr9,97438718,97439452"	Cxcr7	-0.973392631	6.79E-06	SVZ_Meth	SVZ	Meth	0	1
"chr13,49882575,49883593"	Pik3c2b	0.62010612	6.46E-06	CA_Sal	CA	Sal	-0.047557571	0.801327966
"chr19,39549755,39550209"	Wwp2	0.662296512	0.000111313	CA_Sal	CA	Sal	-0.009204676	0.977585091
"chr4,99901121,99902181"	9130221F21Rik	3.706165081	8.52E-06	CA_Sal	CA	Sal	0	1
"chr4,99901121,99902181"	Polr1a	3.706165081	8.52E-06	CA_Sal	CA	Sal	-0.003163232	0.994798406
"chr6,129801375,129801932"	Papola	0.663135559	0.000256688	CA_Sal	CA	Sal	-0.129698987	0.252739884
"chr6,129801375,129801932"	Vrk1	0.663135559	0.000256688	CA_Sal	CA	Sal	0.16646632	0.274992638
"chr7,114984921,114985592"	Gpr20	0.605361714	0.000139983	CA_Sal	CA	Sal	0	1
"chr7,114984921,114985592"	Ptp4a3	0.605361714	0.000139983	CA_Sal	CA	Sal	0.004983961	0.988344003
"chr7,120460048,120460386"	Mir4534	0.7312125	1.87E-06	CA_Sal	CA	Sal	0	1
"chr7,120460048,120460386"	Pick1	0.7312125	1.87E-06	CA_Sal	CA	Sal	-0.106490473	0.431300787
"chr1,127936908,127937922"	Adamts17	0.635248233	0.00017133	DG_Sal	DG	Sal	-0.155741124	0.699223683
"chr1,140401075,140401949"	As1	1.328786159	3.69E-09	DG_Sal	DG	Sal	0	1
"chr1,140401075,140401949"	Mrpl46	1.328786159	3.69E-09	DG_Sal	DG	Sal	0.234219479	0.199861068
"chr1,140401075,140401949"	Ntrk3	1.328786159	3.69E-09	DG_Sal	DG	Sal	-0.458382785	6.53E-06
"chr1,215758410,215759160"	Igf2	0.839280882	0.00026581	DG_Sal	DG	Sal	-1.015268314	0.056066369
"chr1,215758410,215759160"	Ins	0.839280882	0.00026581	DG_Sal	DG	Sal	0	1
"chr1,215758410,215759160"	Mir675	0.839280882	0.00026581	DG_Sal	DG	Sal	0	1
"chr1,265207973,265208860"	Btrc	0.671715607	0.000326825	DG_Sal	DG	Sal	0.097728273	0.619294294
"chr1,39840203,39840791"	Ppp1r14c	0.614763834	0.000594773	DG_Sal	DG	Sal	-0.403761777	0.025056341
"chr1,45761884,45763051"	Arid1b	0.913185678	7.50E-06	DG_Sal	DG	Sal	-0.391799375	0.00022114
"chr1,45761884,45763051"	Nox3	0.913185678	7.50E-06	DG_Sal	DG	Sal	0	1
"chr1,46031791,46032446"	Mir4466	0.640435077	0.000168185	DG_Sal	DG	Sal	0	1
"chr1,46031791,46032446"	Tmem242	0.640435077	0.000168185	DG_Sal	DG	Sal	0.227597822	0.28867331
"chr10,102250718,102251584"	Cdc42ep4	1.159908838	3.21E-05	DG_Sal	DG	Sal	-0.387145181	0.000343591
"chr10,102306829,102307559"	Sdk2	1.011401722	3.92E-07	DG_Sal	DG	Sal	0.624006438	0.003434111
"chr10,107272908,107273459"	Cyth1	0.856986806	0.000150281	DG_Sal	DG	Sal	-0.275156082	0.02125723
"chr10,31285983,31286645"	Cyfip2	0.950521191	3.45E-07	DG_Sal	DG	Sal	0.053309632	0.795500192
"chr10,37399744,37401005"	LOC101927934	0.92722062	1.51E-06	DG_Sal	DG	Sal	0	1
"chr10,37399744,37401005"	LOC102546229	0.92722062	1.51E-06	DG_Sal	DG	Sal	0	1
"chr10,43072493,43073322"	Galnt10	0.960652566	2.45E-07	DG_Sal	DG	Sal	-0.076283886	0.857734052
"chr10,55202807,55203868"	Ccdc42	1.109346161	2.28E-10	DG_Sal	DG	Sal	0.771953807	0.147450562
"chr10,55202807,55203868"	Myh10	1.109346161	2.28E-10	DG_Sal	DG	Sal	0.353546081	0.00050727
"chr10,77872157,77872861"	Hlf	0.601772772	0.000969966	DG_Sal	DG	Sal	1.105526092	7.66E-12
"chr10,82681898,82682621"	Col1a1	0.69443124	0.000158603	DG_Sal	DG	Sal	-0.436867872	0.570641491
"chr10,82681898,82682621"	Gm11544	0.69443124	0.000158603	DG_Sal	DG	Sal	0	1
"chr10,84745470,84746626"	Cdk5rap3	1.201685109	5.66E-11	DG_Sal	DG	Sal	0.059855256	0.783134458
"chr10,84745470,84746626"	Mir152	1.201685109	5.66E-11	DG_Sal	DG	Sal	0	1
"chr10,91148254,91148677"	Nmt1	0.981405859	3.60E-05	DG_Sal	DG	Sal	-0.542475568	1.12E-08
"chr11,30061841,30062535"	Tiam1	1.202236034	3.08E-06	DG_Sal	DG	Sal	-0.474944589	0.000665786
"chr11,61110499,61111345"	Boc	0.908569188	8.05E-07	DG_Sal	DG	Sal	0.507027951	0.154505548
"chr11,69918256,69919272"	Kalrn	0.788671908	4.78E-07	DG_Sal	DG	Sal	-0.333877505	0.017084183
"chr11,69918256,69919272"	Umps	0.788671908	4.78E-07	DG_Sal	DG	Sal	-0.082797081	0.778489423
"chr11,78892745,78893802"	As1	0.794826009	0.000576928	DG_Sal	DG	Sal	0	1
"chr11,78892745,78893802"	Lpp	0.794826009	0.000576928	DG_Sal	DG	Sal	0.040521233	0.912614471
"chr11,78892745,78893802"	Tprg1	0.794826009	0.000576928	DG_Sal	DG	Sal	-0.373205375	0.002823003
"chr12,12028039,12028568"	Baiap2l1	1.059933237	1.97E-05	DG_Sal	DG	Sal	0	1
"chr12,12028039,12028568"	Nptx2	1.059933237	1.97E-05	DG_Sal	DG	Sal	-0.670049414	1.04E-05
"chr12,27860305,27861059"	Auts2	1.107161331	6.90E-06	DG_Sal	DG	Sal	-0.210227733	0.217562814
"chr12,36835066,36836015"	Ncor2	0.62920065	1.06E-07	DG_Sal	DG	Sal	-0.056397522	0.749581842
"chr12,36835066,36836015"	Scarb1	0.62920065	1.06E-07	DG_Sal	DG	Sal	0.038350953	0.883219996
"chr12,37844733,37845271"	LOC100507091	0.791273229	3.73E-06	DG_Sal	DG	Sal	0	1
"chr12,37844733,37845271"	Mir4304	0.791273229	3.73E-06	DG_Sal	DG	Sal	0	1
"chr12,46859447,46859964"	Pxn	0.787411645	1.57E-05	DG_Sal	DG	Sal	-0.158508886	0.311492111
"chr12,46859447,46859964"	Sirt4	0.787411645	1.57E-05	DG_Sal	DG	Sal	0.291704564	0.398332875
"chr13,105027090,105027795"	LOC643723	0.653524459	9.26E-05	DG_Sal	DG	Sal	0	1
"chr13,105027090,105027795"	Tgfb2	0.653524459	9.26E-05	DG_Sal	DG	Sal	-0.012697632	0.985482405
"chr13,50042594,50043451"	Plekha6	1.334110428	9.19E-19	DG_Sal	DG	Sal	0.565071792	6.83E-07
"chr13,50110316,50111600"	Atp2b4	0.771715843	0.00019585	DG_Sal	DG	Sal	1.420905	0.016445708
"chr13,50898373,50898955"	Btg2	0.594205703	0.000372063	DG_Sal	DG	Sal	-0.275057743	0.26768105
"chr13,50898373,50898955"	Fmod	0.594205703	0.000372063	DG_Sal	DG	Sal	-1.024881571	0.062184899
"chr14,105550279,105551047"	LOC101927285	1.258179052	0.000531843	DG_Sal	DG	Sal	0	1
"chr14,105550279,105551047"	Mir4432	1.258179052	0.000531843	DG_Sal	DG	Sal	0	1
"chr14,108810503,108811037"	Bcl11a	0.7049094	6.73E-05	DG_Sal	DG	Sal	0.121748719	0.514095824
"chr14,108810503,108811037"	Papolg	0.7049094	6.73E-05	DG_Sal	DG	Sal	-0.002320023	1
"chr14,108811395,108812056"	Bcl11a	0.885887203	1.07E-06	DG_Sal	DG	Sal	0.121748719	0.514095824
"chr14,108811395,108812056"	Papolg	0.885887203	1.07E-06	DG_Sal	DG	Sal	-0.002320023	1
"chr14,109243051,109243483"	LOC101927285	0.82430687	0.000906725	DG_Sal	DG	Sal	0	1
"chr14,109243051,109243483"	Mir4432	0.82430687	0.000906725	DG_Sal	DG	Sal	0	1
"chr14,109866391,109867189"	Linc01122	1.131319511	6.44E-07	DG_Sal	DG	Sal	0	1
"chr14,110758184,110758675"	Vrk2	0.962019342	0.000754981	DG_Sal	DG	Sal	0.12020946	0.841139864
"chr14,16411188,16411762"	11-Sep	0.786926231	2.63E-06	DG_Sal	DG	Sal	0.109612429	0.457195014
"chr14,32916749,32917876"	Igfbp7	0.986879453	2.30E-06	DG_Sal	DG	Sal	0.243586603	0.042975863
"chr14,32916749,32917876"	Pea15b	0.986879453	2.30E-06	DG_Sal	DG	Sal	0	1
"chr14,73132825,73133610"	As1	0.714981461	0.000921115	DG_Sal	DG	Sal	0	1
"chr14,73132825,73133610"	Cpeb2	0.714981461	0.000921115	DG_Sal	DG	Sal	0.176509016	0.202105194
"chr14,73132825,73133610"	Linc01085	0.714981461	0.000921115	DG_Sal	DG	Sal	0	1
"chr14,87302945,87303595"	Adcy1	1.333233897	2.60E-07	DG_Sal	DG	Sal	-0.740222457	3.59E-05
"chr14,87302945,87303595"	Gm11981	1.333233897	2.60E-07	DG_Sal	DG	Sal	0	1
"chr15,2810420,2810898"	Dupd1	1.044318825	2.35E-11	DG_Sal	DG	Sal	0	1
"chr15,2810420,2810898"	Myst4	1.044318825	2.35E-11	DG_Sal	DG	Sal	0	1
"chr15,40862294,40863413"	Fam123a	1.050489164	2.52E-13	DG_Sal	DG	Sal	0	1
"chr15,40862294,40863413"	Spata13	1.050489164	2.52E-13	DG_Sal	DG	Sal	0.072802074	0.720865174
"chr15,51518642,51519862"	Pebp4	1.141900259	3.69E-07	DG_Sal	DG	Sal	0	1
"chr15,51518642,51519862"	Rhobtb2	1.141900259	3.69E-07	DG_Sal	DG	Sal	0.467860976	0.000535244
"chr15,52377548,52378333"	Xpo7	0.910406666	0.000892955	DG_Sal	DG	Sal	-0.103154428	0.492362314
"chr15,84845725,84846335"	1700110M21Rik	0.699566132	5.79E-05	DG_Sal	DG	Sal	0	1
"chr15,84845725,84846335"	Klf12	0.699566132	5.79E-05	DG_Sal	DG	Sal	0.382185448	0.001046804
"chr17,18522160,18523045"	Cap2	0.723224359	5.13E-08	DG_Sal	DG	Sal	-0.324126685	0.021462769
"chr17,18733612,18734734"	Rbm24	0.992089412	2.47E-06	DG_Sal	DG	Sal	-0.030726179	0.956197396
"chr17,18733612,18734734"	Stmnd1	0.992089412	2.47E-06	DG_Sal	DG	Sal	0	1
"chr17,52243053,52244030"	4933412O06Rik	1.209728851	2.73E-10	DG_Sal	DG	Sal	0	1
"chr17,52243053,52244030"	Gli3	1.209728851	2.73E-10	DG_Sal	DG	Sal	0.027462485	0.908598273
"chr17,77988667,77989796"	Frmd4a	0.969854622	2.37E-05	DG_Sal	DG	Sal	0	1
"chr17,9757405,9758200"	Slc34a1	0.628030289	0.000580195	DG_Sal	DG	Sal	0	1
"chr18,31965052,31965638"	Arhgap26	0.950752988	1.70E-06	DG_Sal	DG	Sal	0.783337826	1.90E-09
"chr18,56932997,56933791"	Csnk1a1	0.701356031	3.08E-07	DG_Sal	DG	Sal	-0.277311957	0.009695295
"chr18,56932997,56933791"	LOC545261	0.701356031	3.08E-07	DG_Sal	DG	Sal	0	1
"chr18,76843295,76844564"	Kcng2	0.967942356	3.88E-10	DG_Sal	DG	Sal	-2.032683576	6.77E-32
"chr18,8110985,8112505"	Cdh2	0.833614763	2.11E-07	DG_Sal	DG	Sal	-0.067601853	0.718298398
"chr18,8110985,8112505"	Chst9	0.833614763	2.11E-07	DG_Sal	DG	Sal	-3.381002841	1.06E-09
"chr19,20229244,20230078"	Znf423	0.785035637	4.96E-07	DG_Sal	DG	Sal	0	1
"chr19,42241948,42242704"	Pmfbp1	1.336224907	2.00E-06	DG_Sal	DG	Sal	0	1
"chr19,42241948,42242704"	Zfhx3	1.336224907	2.00E-06	DG_Sal	DG	Sal	0.65906467	1.42E-07
"chr19,42259214,42259852"	Pmfbp1	0.936735757	0.000493717	DG_Sal	DG	Sal	0	1
"chr19,42259214,42259852"	Zfhx3	0.936735757	0.000493717	DG_Sal	DG	Sal	0.65906467	1.42E-07
"chr19,50944336,50945055"	LOC101928446	0.747998076	3.85E-05	DG_Sal	DG	Sal	0	1
"chr19,50944336,50945055"	Mir8058	0.747998076	3.85E-05	DG_Sal	DG	Sal	0	1
"chr19,52453099,52454047"	4632415K11Rik	0.824870041	1.79E-06	DG_Sal	DG	Sal	0	1
"chr19,52453099,52454047"	Cotl1	0.824870041	1.79E-06	DG_Sal	DG	Sal	-1.146213122	5.19E-11
"chr2,11042642,11043181"	As1	0.946139914	4.58E-05	DG_Sal	DG	Sal	0	1
"chr2,11042642,11043181"	Mef2c	0.946139914	4.58E-05	DG_Sal	DG	Sal	1.096519592	2.42E-05
"chr2,11042642,11043181"	Mir3660	0.946139914	4.58E-05	DG_Sal	DG	Sal	0	1
"chr2,11671848,11672796"	As1	0.717038198	2.45E-06	DG_Sal	DG	Sal	0	1
"chr2,11671848,11672796"	Mef2c	0.717038198	2.45E-06	DG_Sal	DG	Sal	1.096519592	2.42E-05
"chr2,140898233,140899050"	Maml3	1.014352498	6.47E-10	DG_Sal	DG	Sal	0	1
"chr2,178297014,178297752"	Fnip2	0.600196286	7.91E-06	DG_Sal	DG	Sal	-0.039911236	0.87509715
"chr2,42911783,42912757"	Actbl2	1.213817239	1.75E-07	DG_Sal	DG	Sal	0	1
"chr2,42911783,42912757"	Gpbp1	1.213817239	1.75E-07	DG_Sal	DG	Sal	0.014413711	0.951251078
"chr2,6100749,6101513"	Arrdc3	0.936035595	8.27E-05	DG_Sal	DG	Sal	0.110595151	0.570790111
"chr2,6100749,6101513"	As1	0.936035595	8.27E-05	DG_Sal	DG	Sal	0	1
"chr2,6100749,6101513"	Nr2f1	0.936035595	8.27E-05	DG_Sal	DG	Sal	-0.284301406	0.096076076
"chr20,20045513,20046077"	Ank3	1.3555492	9.15E-10	DG_Sal	DG	Sal	-0.088518354	0.515143022
"chr20,27964838,27965343"	Lims1	1.321284779	1.53E-10	DG_Sal	DG	Sal	-0.301482261	0.094508722
"chr20,43712742,43713799"	Marcks	0.628670061	3.21E-08	DG_Sal	DG	Sal	0.280489214	0.052430227
"chr20,43712742,43713799"	Rfpl4b	0.628670061	3.21E-08	DG_Sal	DG	Sal	0	1
"chr3,107706751,107707616"	Meis2	0.689865743	0.000295053	DG_Sal	DG	Sal	1.03965092	4.84E-05
"chr3,152739675,152740146"	Aar2	0.72655217	0.00017279	DG_Sal	DG	Sal	-0.053592144	0.768583588
"chr3,152739675,152740146"	Dlgap4	0.72655217	0.00017279	DG_Sal	DG	Sal	0.036655776	0.855212739
"chr3,160075430,160076840"	Pkig	0.742022358	1.66E-09	DG_Sal	DG	Sal	0.089126205	0.679193282
"chr3,45899801,45901169"	Tanc1	0.593368043	3.76E-06	DG_Sal	DG	Sal	-2.010057365	1.25E-16
"chr3,51687610,51688888"	Scn2a	0.739816584	1.60E-09	DG_Sal	DG	Sal	-0.094847178	0.498378304
"chr3,51687610,51688888"	Scn3a	0.739816584	1.60E-09	DG_Sal	DG	Sal	0.127304803	0.372657142
"chr4,116997671,116998751"	Sfxn5	0.858070413	4.76E-08	DG_Sal	DG	Sal	-0.198254666	0.094317767
"chr4,28454979,28455536"	Ccdc132	0.682538329	0.000909939	DG_Sal	DG	Sal	0	1
"chr4,81817012,81817835"	Skap2	0.645314481	4.04E-06	DG_Sal	DG	Sal	-0.22987785	0.309817045
"chr4,81817012,81817835"	Snx10	0.645314481	4.04E-06	DG_Sal	DG	Sal	-0.331321725	0.012380068
"chr5,127586968,127587624"	Slc1a7	1.082063557	2.32E-05	DG_Sal	DG	Sal	0	1
"chr5,27383358,27384375"	Runx1t1	0.849867191	6.67E-10	DG_Sal	DG	Sal	0.118049297	0.535000255
"chr5,37903538,37904597"	LOC101927314	0.730729598	7.30E-07	DG_Sal	DG	Sal	0	1
"chr5,87428803,87429591"	Tle1	1.282756945	3.90E-08	DG_Sal	DG	Sal	-0.85578611	3.68E-13
"chr5,87428803,87429591"	Tle4	1.282756945	3.90E-08	DG_Sal	DG	Sal	0.420258123	0.003946125
"chr5,88237183,88238339"	Tle1	0.659962061	0.000431004	DG_Sal	DG	Sal	-0.85578611	3.68E-13
"chr5,88237183,88238339"	Tle4	0.659962061	0.000431004	DG_Sal	DG	Sal	0.420258123	0.003946125
"chr6,104382402,104383456"	3830431G21Rik	0.888364268	5.95E-08	DG_Sal	DG	Sal	0	1
"chr6,104382402,104383456"	Gm1568	0.888364268	5.95E-08	DG_Sal	DG	Sal	0	1
"chr6,109261660,109262660"	Fos	0.677897278	2.46E-09	DG_Sal	DG	Sal	0.98666154	0.010857521
"chr6,109261660,109262660"	Tmed10	0.677897278	2.46E-09	DG_Sal	DG	Sal	0.034779058	0.85171217
"chr6,132824582,132825822"	Wdr25	0.634230317	1.91E-06	DG_Sal	DG	Sal	-0.286461218	0.325349432
"chr6,37474951,37475449"	Fam49a	1.697724784	2.58E-12	DG_Sal	DG	Sal	-0.412671947	0.000244847
"chr6,37474951,37475449"	Tubb2a	1.697724784	2.58E-12	DG_Sal	DG	Sal	-0.371185418	0.00813833
"chr6,37474951,37475449"	ps2	1.697724784	2.58E-12	DG_Sal	DG	Sal	0	1
"chr6,42139812,42140425"	E2f6	0.921550828	1.04E-05	DG_Sal	DG	Sal	0.262793417	0.042823443
"chr6,42139812,42140425"	Rock2	0.921550828	1.04E-05	DG_Sal	DG	Sal	-0.085235172	0.630142085
"chr6,69977416,69977891"	C14orf23	0.763813864	7.69E-05	DG_Sal	DG	Sal	0	1
"chr6,70843592,70844123"	C14orf23	1.158990589	2.25E-05	DG_Sal	DG	Sal	0	1
